Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Administrative and support services,SG01RSC04B01MN2,2018Q4,0.0199728,1372.533
Industry groups,Local Government administration,SG01RSC04B01OO1,2018Q4,0.0047605,331.065
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2018Q4,0.0353357,2436.585
Industry groups,Education and training,SG01RSC04B01PP1,2018Q4,0.0427765,2419.756
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2018Q4,0.0588786,3757.257
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2018Q4,0.0133534,876.472
Industry groups,Other services,SG01RSC04B01RS2,2018Q4,0.0185474,1090.573
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2018Q4,0.0837786,4840.047
Industry groups,Agriculture,SG01RSC04B01AA1,2019Q1,0.0413264,2331.789
Industry groups,Forestry and logging,SG01RSC04B01AA2,2019Q1,0.0066773,428.013
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2019Q1,0.0086397,569.643
Industry groups,Mining,SG01RSC04B01BB1,2019Q1,0.0096723,670.166
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2019Q1,0.0359585,1965.137
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2019Q1,0.0020685,155.740
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2019Q1,0.0080284,524.860
Industry groups,Printing,SG01RSC04B01CC4,2019Q1,0.0022085,150.886
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2019Q1,0.0170117,1048.201
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2019Q1,0.0039443,294.068
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2019Q1,0.0109758,706.001
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2019Q1,0.0167129,1143.050
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2019Q1,0.0025757,171.307
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2019Q1,0.0277186,1767.967
Industry groups,Construction,SG01RSC04B01EE1,2019Q1,0.0663803,4264.975
Industry groups,Wholesale trade,SG01RSC04B01FF1,2019Q1,0.0470039,3210.809
Industry groups,Retail trade,SG01RSC04B01GH1,2019Q1,0.0440955,3129.988
Industry groups,Accommodation services,SG01RSC04B01GH2,2019Q1,0.0219251,1360.948
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2019Q1,0.0444239,2820.869
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2019Q1,0.0228765,2290.873
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2019Q1,0.0563452,3646.827
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2019Q1,0.0718295,4102.252
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2019Q1,0.0723198,4637.963
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2019Q1,0.0818781,5350.317
Industry groups,Administrative and support services,SG01RSC04B01MN2,2019Q1,0.0199728,1336.047
Industry groups,Local Government administration,SG01RSC04B01OO1,2019Q1,0.0047605,331.254
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2019Q1,0.0353357,2443.916
Industry groups,Education and training,SG01RSC04B01PP1,2019Q1,0.0427765,2424.163
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2019Q1,0.0588786,3847.807
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2019Q1,0.0133534,835.098
Industry groups,Other services,SG01RSC04B01RS2,2019Q1,0.0185474,1112.708
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2019Q1,0.0837786,4873.870
Industry groups,Agriculture,SG01RSC04B01AA1,2019Q2,0.0428698,2284.184
Industry groups,Forestry and logging,SG01RSC04B01AA2,2019Q2,0.0051577,415.631
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2019Q2,0.0088471,555.339
Industry groups,Mining,SG01RSC04B01BB1,2019Q2,0.0088235,653.912
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2019Q2,0.0360508,1885.242
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2019Q2,0.0019266,156.578
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2019Q2,0.0070021,534.515
Industry groups,Printing,SG01RSC04B01CC4,2019Q2,0.0020366,147.492
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2019Q2,0.0175883,1024.709
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2019Q2,0.0035851,287.886
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2019Q2,0.0094942,691.653
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2019Q2,0.0171934,1143.227
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2019Q2,0.0025778,171.849
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2019Q2,0.0277990,1786.032
Industry groups,Construction,SG01RSC04B01EE1,2019Q2,0.0695139,4315.380
Industry groups,Wholesale trade,SG01RSC04B01FF1,2019Q2,0.0450081,3228.559
Industry groups,Retail trade,SG01RSC04B01GH1,2019Q2,0.0432298,3135.727
Industry groups,Accommodation services,SG01RSC04B01GH2,2019Q2,0.0216885,1355.329
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2019Q2,0.0427030,2875.504
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2019Q2,0.0217964,2293.982
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2019Q2,0.0549412,3726.953
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2019Q2,0.0731822,4157.888
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2019Q2,0.0736883,4680.172
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2019Q2,0.0839379,5408.879
Industry groups,Administrative and support services,SG01RSC04B01MN2,2019Q2,0.0190919,1351.079
Industry groups,Local Government administration,SG01RSC04B01OO1,2019Q2,0.0049349,333.787
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2019Q2,0.0366720,2494.500
Industry groups,Education and training,SG01RSC04B01PP1,2019Q2,0.0426523,2430.406
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2019Q2,0.0601412,3844.458
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2019Q2,0.0133227,867.254
Industry groups,Other services,SG01RSC04B01RS2,2019Q2,0.0187334,1127.618
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2019Q2,0.0838101,4859.735
Industry groups,Agriculture,SG01RSC04B01AA1,2019Q3,0.0428698,2284.898
Industry groups,Forestry and logging,SG01RSC04B01AA2,2019Q3,0.0051577,405.090
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2019Q3,0.0088471,548.164
Industry groups,Mining,SG01RSC04B01BB1,2019Q3,0.0088235,668.133
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2019Q3,0.0360508,1895.937
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2019Q3,0.0019266,152.842
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2019Q3,0.0070021,529.552
Industry groups,Printing,SG01RSC04B01CC4,2019Q3,0.0020366,148.011
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2019Q3,0.0175883,1006.140
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2019Q3,0.0035851,277.891
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2019Q3,0.0094942,693.237
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2019Q3,0.0171934,1178.266
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2019Q3,0.0025778,186.733
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2019Q3,0.0277990,1771.714
Industry groups,Construction,SG01RSC04B01EE1,2019Q3,0.0695139,4415.771
Industry groups,Wholesale trade,SG01RSC04B01FF1,2019Q3,0.0450081,3232.098
Industry groups,Retail trade,SG01RSC04B01GH1,2019Q3,0.0432298,3200.175
Industry groups,Accommodation services,SG01RSC04B01GH2,2019Q3,0.0216885,1351.473
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2019Q3,0.0427030,2802.993
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2019Q3,0.0217964,2317.140
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2019Q3,0.0549412,3738.319
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2019Q3,0.0731822,4146.669
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2019Q3,0.0736883,4740.064
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2019Q3,0.0839379,5635.658
Industry groups,Administrative and support services,SG01RSC04B01MN2,2019Q3,0.0190919,1314.733
Industry groups,Local Government administration,SG01RSC04B01OO1,2019Q3,0.0049349,342.223
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2019Q3,0.0366720,2513.057
Industry groups,Education and training,SG01RSC04B01PP1,2019Q3,0.0426523,2438.191
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2019Q3,0.0601412,3864.052
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2019Q3,0.0133227,903.986
Industry groups,Other services,SG01RSC04B01RS2,2019Q3,0.0187334,1134.704
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2019Q3,0.0838101,4943.149
Industry groups,Agriculture,SG01RSC04B01AA1,2019Q4,0.0428698,2283.734
Industry groups,Forestry and logging,SG01RSC04B01AA2,2019Q4,0.0051577,390.434
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2019Q4,0.0088471,558.739
Industry groups,Mining,SG01RSC04B01BB1,2019Q4,0.0088235,661.656
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2019Q4,0.0360508,1911.706
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2019Q4,0.0019266,145.987
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2019Q4,0.0070021,517.655
Industry groups,Printing,SG01RSC04B01CC4,2019Q4,0.0020366,147.126
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2019Q4,0.0175883,1004.497
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2019Q4,0.0035851,277.561
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2019Q4,0.0094942,687.712
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2019Q4,0.0171934,1214.471
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2019Q4,0.0025778,178.705
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2019Q4,0.0277990,1779.471
Industry groups,Construction,SG01RSC04B01EE1,2019Q4,0.0695139,4431.670
Industry groups,Wholesale trade,SG01RSC04B01FF1,2019Q4,0.0450081,3246.529
Industry groups,Retail trade,SG01RSC04B01GH1,2019Q4,0.0432298,3226.051
Industry groups,Accommodation services,SG01RSC04B01GH2,2019Q4,0.0216885,1374.136
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2019Q4,0.0427030,2864.477
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2019Q4,0.0217964,2354.505
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2019Q4,0.0549412,3750.334
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2019Q4,0.0731822,4160.563
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2019Q4,0.0736883,4779.722
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2019Q4,0.0839379,5641.750
Industry groups,Administrative and support services,SG01RSC04B01MN2,2019Q4,0.0190919,1340.885
Industry groups,Local Government administration,SG01RSC04B01OO1,2019Q4,0.0049349,348.378
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2019Q4,0.0366720,2608.535
Industry groups,Education and training,SG01RSC04B01PP1,2019Q4,0.0426523,2447.515
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2019Q4,0.0601412,3895.523
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2019Q4,0.0133227,956.357
Industry groups,Other services,SG01RSC04B01RS2,2019Q4,0.0187334,1134.412
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2019Q4,0.0838101,5007.965
Industry groups,Agriculture,SG01RSC04B01AA1,2020Q1,0.0428698,2287.344
Industry groups,Forestry and logging,SG01RSC04B01AA2,2020Q1,0.0051577,385.304
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2020Q1,0.0088471,572.973
Industry groups,Mining,SG01RSC04B01BB1,2020Q1,0.0088235,675.231
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2020Q1,0.0360508,1887.218
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2020Q1,0.0019266,123.891
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2020Q1,0.0070021,541.609
Industry groups,Printing,SG01RSC04B01CC4,2020Q1,0.0020366,140.571
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2020Q1,0.0175883,980.718
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2020Q1,0.0035851,278.138
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2020Q1,0.0094942,664.437
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2020Q1,0.0171934,1170.049
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2020Q1,0.0025778,174.756
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2020Q1,0.0277990,1781.932
Industry groups,Construction,SG01RSC04B01EE1,2020Q1,0.0695139,4204.055
Industry groups,Wholesale trade,SG01RSC04B01FF1,2020Q1,0.0450081,3212.777
Industry groups,Retail trade,SG01RSC04B01GH1,2020Q1,0.0432298,3259.833
Industry groups,Accommodation services,SG01RSC04B01GH2,2020Q1,0.0216885,1249.439
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2020Q1,0.0427030,2760.987
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2020Q1,0.0217964,2447.806
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2020Q1,0.0549412,3707.888
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2020Q1,0.0731822,4117.366
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2020Q1,0.0736883,4789.416
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2020Q1,0.0839379,5800.380
Industry groups,Administrative and support services,SG01RSC04B01MN2,2020Q1,0.0190919,1352.135
Industry groups,Local Government administration,SG01RSC04B01OO1,2020Q1,0.0049349,353.089
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2020Q1,0.0366720,2599.509
Industry groups,Education and training,SG01RSC04B01PP1,2020Q1,0.0426523,2444.913
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2020Q1,0.0601412,3872.215
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2020Q1,0.0133227,893.121
Industry groups,Other services,SG01RSC04B01RS2,2020Q1,0.0187334,1110.060
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2020Q1,0.0838101,4928.990
Industry groups,Agriculture,SG01RSC04B01AA1,2020Q2,0.0428705,2277.427
Industry groups,Forestry and logging,SG01RSC04B01AA2,2020Q2,0.0047384,311.620
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2020Q2,0.0089120,553.759
Industry groups,Mining,SG01RSC04B01BB1,2020Q2,0.0056497,500.558
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2020Q2,0.0330291,1779.624
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2020Q2,0.0020688,96.201
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2020Q2,0.0070267,435.563
Industry groups,Printing,SG01RSC04B01CC4,2020Q2,0.0017323,106.212
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2020Q2,0.0158210,844.717
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2020Q2,0.0036106,210.536
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2020Q2,0.0103284,521.843
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2020Q2,0.0186338,999.139
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2020Q2,0.0024804,144.211
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2020Q2,0.0260527,1672.396
Industry groups,Construction,SG01RSC04B01EE1,2020Q2,0.0706506,3236.799
Industry groups,Wholesale trade,SG01RSC04B01FF1,2020Q2,0.0487326,2826.049
Industry groups,Retail trade,SG01RSC04B01GH1,2020Q2,0.0467705,2822.867
Industry groups,Accommodation services,SG01RSC04B01GH2,2020Q2,0.0177527,774.234
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2020Q2,0.0359484,1899.762
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2020Q2,0.0225355,2399.984
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2020Q2,0.0553951,3746.884
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2020Q2,0.0756685,3908.148
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2020Q2,0.0777405,4841.417
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2020Q2,0.0859166,5418.400
Industry groups,Administrative and support services,SG01RSC04B01MN2,2020Q2,0.0169040,972.395
Industry groups,Local Government administration,SG01RSC04B01OO1,2020Q2,0.0048470,357.538
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2020Q2,0.0385752,2622.043
Industry groups,Education and training,SG01RSC04B01PP1,2020Q2,0.0443707,2264.104
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2020Q2,0.0648861,3730.840
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2020Q2,0.0120532,591.577
Industry groups,Other services,SG01RSC04B01RS2,2020Q2,0.0185734,939.800
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2020Q2,0.0797251,4208.745
Industry groups,Agriculture,SG01RSC04B01AA1,2020Q3,0.0428705,2455.517
Industry groups,Forestry and logging,SG01RSC04B01AA2,2020Q3,0.0047384,405.836
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2020Q3,0.0089120,629.355
Industry groups,Mining,SG01RSC04B01BB1,2020Q3,0.0056497,576.375
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2020Q3,0.0330291,1962.737
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2020Q3,0.0020688,162.406
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2020Q3,0.0070267,552.269
Industry groups,Printing,SG01RSC04B01CC4,2020Q3,0.0017323,126.810
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2020Q3,0.0158210,928.764
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2020Q3,0.0036106,299.054
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2020Q3,0.0103284,686.801
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2020Q3,0.0186338,1178.215
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2020Q3,0.0024804,213.727
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2020Q3,0.0260527,1748.423
Industry groups,Construction,SG01RSC04B01EE1,2020Q3,0.0706506,4948.455
Industry groups,Wholesale trade,SG01RSC04B01FF1,2020Q3,0.0487326,3360.152
Industry groups,Retail trade,SG01RSC04B01GH1,2020Q3,0.0467705,3548.474
Industry groups,Accommodation services,SG01RSC04B01GH2,2020Q3,0.0177527,1401.563
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2020Q3,0.0359484,2124.349
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2020Q3,0.0225355,2570.191
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2020Q3,0.0553951,3793.540
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2020Q3,0.0756685,4222.259
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2020Q3,0.0777405,4887.760
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2020Q3,0.0859166,5756.547
Industry groups,Administrative and support services,SG01RSC04B01MN2,2020Q3,0.0169040,1177.919
Industry groups,Local Government administration,SG01RSC04B01OO1,2020Q3,0.0048470,352.113
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2020Q3,0.0385752,2672.728
Industry groups,Education and training,SG01RSC04B01PP1,2020Q3,0.0443707,2409.579
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2020Q3,0.0648861,3995.643
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2020Q3,0.0120532,885.442
Industry groups,Other services,SG01RSC04B01RS2,2020Q3,0.0185734,1112.140
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2020Q3,0.0797251,4920.953
Industry groups,Agriculture,SG01RSC04B01AA1,2020Q4,0.0428705,2418.725
Industry groups,Forestry and logging,SG01RSC04B01AA2,2020Q4,0.0047384,405.673
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2020Q4,0.0089120,598.702
Industry groups,Mining,SG01RSC04B01BB1,2020Q4,0.0056497,574.706
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2020Q4,0.0330291,1934.089
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2020Q4,0.0020688,133.703
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2020Q4,0.0070267,572.680
Industry groups,Printing,SG01RSC04B01CC4,2020Q4,0.0017323,135.507
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2020Q4,0.0158210,910.491
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2020Q4,0.0036106,292.805
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2020Q4,0.0103284,688.599
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2020Q4,0.0186338,1271.059
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2020Q4,0.0024804,184.086
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2020Q4,0.0260527,1759.991
Industry groups,Construction,SG01RSC04B01EE1,2020Q4,0.0706506,4501.390
Industry groups,Wholesale trade,SG01RSC04B01FF1,2020Q4,0.0487326,3309.911
Industry groups,Retail trade,SG01RSC04B01GH1,2020Q4,0.0467705,3451.262
Industry groups,Accommodation services,SG01RSC04B01GH2,2020Q4,0.0177527,1374.147
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2020Q4,0.0359484,2262.814
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2020Q4,0.0225355,2672.613
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2020Q4,0.0553951,3810.034
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2020Q4,0.0756685,4250.555
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2020Q4,0.0777405,4954.847
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2020Q4,0.0859166,5815.070
Industry groups,Administrative and support services,SG01RSC04B01MN2,2020Q4,0.0169040,1213.648
Industry groups,Local Government administration,SG01RSC04B01OO1,2020Q4,0.0048470,351.176
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2020Q4,0.0385752,2701.497
Industry groups,Education and training,SG01RSC04B01PP1,2020Q4,0.0443707,2437.688
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2020Q4,0.0648861,4087.996
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2020Q4,0.0120532,934.175
Industry groups,Other services,SG01RSC04B01RS2,2020Q4,0.0185734,1181.168
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2020Q4,0.0797251,4864.627
Industry groups,Agriculture,SG01RSC04B01AA1,2021Q1,0.0428705,2437.739
Industry groups,Forestry and logging,SG01RSC04B01AA2,2021Q1,0.0047384,409.751
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2021Q1,0.0089120,618.391
Industry groups,Mining,SG01RSC04B01BB1,2021Q1,0.0056497,572.537
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2021Q1,0.0330291,1931.214
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2021Q1,0.0020688,157.413
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2021Q1,0.0070267,582.412
Industry groups,Printing,SG01RSC04B01CC4,2021Q1,0.0017323,135.280
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2021Q1,0.0158210,866.764
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2021Q1,0.0036106,303.265
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2021Q1,0.0103284,690.037
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2021Q1,0.0186338,1393.027
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2021Q1,0.0024804,193.344
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2021Q1,0.0260527,1747.591
Industry groups,Construction,SG01RSC04B01EE1,2021Q1,0.0706506,4852.990
Industry groups,Wholesale trade,SG01RSC04B01FF1,2021Q1,0.0487326,3435.349
Industry groups,Retail trade,SG01RSC04B01GH1,2021Q1,0.0467705,3547.860
Industry groups,Accommodation services,SG01RSC04B01GH2,2021Q1,0.0177527,1371.021
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2021Q1,0.0359484,2303.002
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2021Q1,0.0225355,2747.956
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2021Q1,0.0553951,3747.227
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2021Q1,0.0756685,4212.271
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2021Q1,0.0777405,4988.236
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2021Q1,0.0859166,5995.100
Industry groups,Administrative and support services,SG01RSC04B01MN2,2021Q1,0.0169040,1291.508
Industry groups,Local Government administration,SG01RSC04B01OO1,2021Q1,0.0048470,355.441
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2021Q1,0.0385752,2758.398
Industry groups,Education and training,SG01RSC04B01PP1,2021Q1,0.0443707,2502.756
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2021Q1,0.0648861,4065.260
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2021Q1,0.0120532,899.942
